!`  ¡    \~y   ỹ    \lneq   ≨    \~\"{O}                                     Ṏ
--  –    ^o_   º    \lnot   ¬    \~\"{o}                                     ṏ
?`  ¿    $^1$  ¹    \male   ♂    \~\'{O}                                     Ṍ
\        $^2$  ²    \mill   ₥    \~\'{U}                                     Ṹ
\"  ̈     $^3$  ³    \ngeq   ≱    \~\'{o}                                     ṍ
\'  ́     $^a$  ª    \ngtr   ≯    \~\'{u}                                     ṹ
\,       $^o$  º    \nleq   ≰    \~\={O}                                     Ȭ
\-  ­    \"{}  ¨    \nmid   ∤    \~\={o}                                     ȭ
\.  ̇     \'\O  Ǿ    \nsim   ≁    ^\alpha                                     ᵅ
\/  ‌     \'\o  ǿ    \odot   ⊙    ^\delta                                     ᵟ
\:       \'{}  ´    \oint   ∮    ^\gamma                                     ˠ
\;       \.{}  ˙    \perp   ⊥    ^\schwa                                     ᵊ
\=  ̄     \={}  ¯    \peso   ₱    ^\theta                                     ᶿ
\H  ̋     \Box  □    \prec   ≺    ^\u bar                                     ᶶ
\L  Ł    \Cap  ⋒    \prod   ∏    $\times$                                    ×
\O  Ø    \Chi  Χ    \qdrt   ∜    \Diamond                                    ◇
\P  ¶    \Cup  ⋓    \quad        \Digamma                                    Ϝ
\S  §    \Dei  Ϯ    \rect   ▭    \Epsilon                                    Ε
\^  ̂     \Eta  Η    \rial   ﷼    \Omicron                                    Ο
\`  ̀     \Fei  Ϥ    \sdiv   ⁄    \Uparrow                                    ⇑
\b  ̱     \H{}  ˝    \shei   ϣ    \Upsilon                                    Υ
\c  ̧     \Lsh  ↰    \sqrt   √    \afghani                                    ؋
\d  ̣     \Phi  Φ    \star   ⋆    \austral                                    ₳
\i  ı    \Psi  Ψ    \succ   ≻    \backsim                                    ∽
\k  ̨     \Rho  Ρ    \surd   √    \because                                    ∵
\l  ł    \Rsh  ↱    \u\'A   Ắ    \between                                    ≬
\o  ø    \San  Ϻ    \u\'a   ắ    \bigcirc                                    ◯
\u  ̆     \Sho  Ϸ    \u\`A   Ằ    \bigodot                                    ⨀
\v  ̌     \Tau  Τ    \u\`a   ằ    \bigstar                                    ★
\~  ̃     \Yot  Ϳ    \u\~A   Ẵ    \bitcoin                                    ₿
^(  ⁽    \ast  ∗    \u\~a   ẵ    \boxplus                                    ⊞
^)  ⁾    \bot  ⊥    \u{A}   Ă    \caution                                    ☡
^+  ⁺    \bra  ⟨    \u{E}   Ĕ    \celsius                                    ℃
^-  ⁻    \cap  ∩    \u{G}   Ğ    \coloneq                                    ≔
^0  ⁰    \chi  χ    \u{I}   Ĭ    \ddagger                                    ‡
^1  ¹    \cup  ∪    \u{O}   Ŏ    \diamond                                    ⋄
^2  ²    \c{}  ¸    \u{U}   Ŭ    \digamma                                    ϝ
^3  ³    \dag  †    \u{a}   ă    \dotplus                                    ∔
^4  ⁴    \dei  ϯ    \u{e}   ĕ    \drachma                                    ₯
^5  ⁵    \div  ÷    \u{g}   ğ    \epsilon                                    ϵ
^6  ⁶    \ell  ℓ    \u{i}   ĭ    \eqarray                                    █
^7  ⁷    \end  〗   \u{o}   ŏ    \eqcolon                                    ≕
^8  ⁸    \eta  η    \u{u}   ŭ    \gtrless                                    ≷
^9  ⁹    \fei  ϥ    \v\.S   Ṧ    \guarani                                    ₲
^=  ⁼    \flq  ‹    \v\.s   ṧ    \hryvnia                                    ₴
^A  ᴬ    \frq  ›    \vbar   │    \leadsto                                    ↝
^B  ᴮ    \geq  ≥    \v{A}   Ǎ    \lessdot                                    ⋖
^C  ꟲ    \ggg  ⋙    \v{C}   Č    \lessgtr                                    ≶
^D  ᴰ    \glq  ‚    \v{D}   Ď    \lesssim                                    ≲
^E  ᴱ    \grq  ‘    \v{E}   Ě    \lozenge                                    ✧
^F  ꟳ    \iff  ⇔    \v{G}   Ǧ    \maltese                                    ✠
^G  ᴳ    \int  ∫    \v{H}   Ȟ    \napprox                                    ≉
^H  ᴴ    \kip  ₭    \v{I}   Ǐ    \natural                                    ♮
^I  ᴵ    \k{}  ˛    \v{K}   Ǩ    \nearrow                                    ↗
^J  ᴶ    \ldq  “    \v{L}   Ľ    \newline                                     
^K  ᴷ    \leq  ≤    \v{N}   Ň    \nexists                                    ∄
^L  ᴸ    \lhd  ◁    \v{O}   Ǒ    \nomisma                                    𐆎
^M  ᴹ    \lll  ⋘    \v{R}   Ř    \npreceq                                    ⋠
^N  ᴺ    \mho  ℧    \v{S}   Š    \nsubset                                    ⊄
^O  ᴼ    \mid  ∣    \v{T}   Ť    \nsucceq                                    ⋡
^P  ᴾ    \neg  ¬    \v{U}   Ǔ    \nsupset                                    ⊅
^Q  ꟴ    \neq  ≠    \v{Z}   Ž    \nwarrow                                    ↖
^R  ᴿ    \not  ̸     \v{a}   ǎ    \omicron                                    ο
^T  ᵀ    \ohm  Ω    \v{c}   č    \partial                                    ∂
^U  ᵁ    \par       \v{d}   ď    \phantom                                    ⟡
^V  ⱽ    \per  ⅌    \v{e}   ě    \pilcrow                                    ¶
^W  ᵂ    \phi  ϕ    \v{g}   ǧ    \ppprime                                    ‴
^a  ᵃ    \psi  ψ    \v{h}   ȟ    \precsim                                    ≾
^b  ᵇ    \qed  ∎    \v{i}   ǐ    \searrow                                    ↘
^c  ᶜ    \rdq  ”    \v{j}   ǰ    \section                                    §
^d  ᵈ    \rhd  ▷    \v{k}   ǩ    \sqrt[3]                                    ∛
^e  ᵉ    \rho  ρ    \v{l}   ľ    \sqrt[4]                                    ∜
^f  ᶠ    \san  ϻ    \v{n}   ň    \succsim                                    ≿
^g  ᵍ    \sbs  ﹨   \v{o}   ǒ    \swarrow                                    ↙
^h  ʰ    \sho  ϸ    \v{r}   ř    \textwon                                    ₩
^i  ⁱ    \sim  ∼    \v{s}   š    \uparrow                                    ↑
^j  ʲ    \som  ⃀    \v{t}   ť    \upsilon                                    υ
^k  ᵏ    \sum  ∑    \v{u}   ǔ    \varbeta                                    ϐ
^l  ˡ    \tau  τ    \v{z}   ž    \warning                                    ⚠
^m  ᵐ    \top  ⊤    \zeta   ζ    ^\h hook                                    ʱ
^n  ⁿ    \u{}  ˘    \~\"O   Ṏ    ^\open e                                    ᵋ
^o  ᵒ    \vee  ∨    \~\"o   ṏ    ^\open o                                    ᵓ
^p  ᵖ    \v{}  ˇ    \~\'O   Ṍ    \angstrom                                   Å
^q  𐞥    \won  ₩    \~\'U   Ṹ    \approxeq                                   ≊
^r  ʳ    \yen  ¥    \~\'o   ṍ    \backcong                                   ≌
^s  ˢ    \~{}  ˜    \~\'u   ṹ    \barwedge                                   ⊼
^t  ᵗ    ^\Ae  ᴭ    \~\=O   Ȭ    \bigoplus                                   ⨁
^u  ᵘ    ^\Ou  ᴽ    \~\=o   ȭ    \bigsqcup                                   ⨆
^v  ᵛ    ^\ae  𐞃    \~{A}   Ã    \biguplus                                   ⨄
^w  ʷ    $\pm$ ±    \~{E}   Ẽ    \bigwedge                                   ⋀
^x  ˣ    \"\'I Ḯ    \~{I}   Ĩ    \boxminus                                   ⊟
^y  ʸ    \"\'U Ǘ    \~{N}   Ñ    \boxtimes                                   ⊠
^z  ᶻ    \"\'i ḯ    \~{O}   Õ    \circledR                                   ®
_(  ₍    \"\'u ǘ    \~{U}   Ũ    \circledS                                   Ⓢ
_)  ₎    \"\=A Ǟ    \~{V}   Ṽ    \clubsuit                                   ♣
_+  ₊    \"\=O Ȫ    \~{Y}   Ỹ    \cruzeiro                                   ₢
_-  ₋    \"\=U Ǖ    \~{a}   ã    \curlyvee                                   ⋎
_0  ₀    \"\=a ǟ    \~{e}   ẽ    \currency                                   ¤
_1  ₁    \"\=o ȫ    \~{i}   ĩ    \diameter                                   ⌀
_2  ₂    \"\=u ǖ    \~{n}   ñ    \division                                   ÷
_3  ₃    \"\`U Ǜ    \~{o}   õ    \doteqdot                                   ≑
_4  ₄    \"\`u ǜ    \~{u}   ũ    \emptyset                                   ∅
_5  ₅    \"\vU Ǚ    \~{v}   ṽ    \geqslant                                   ≥
_6  ₆    \"\vu ǚ    \~{y}   ỹ    \gnapprox                                   ⋧
_7  ₇    \"{A} Ä    ^\ain   ᵜ    \hphantom                                   ⬄
_8  ₈    \"{E} Ë    ^\chi   ᵡ    \intercal                                   ⊺
_9  ₉    \"{H} Ḧ    ^\eng   ᵑ    \leqslant                                   ≤
_=  ₌    \"{I} Ï    ^\esh   ᶴ    \llcorner                                   ⌞
